year,term,event,start_date,end_date,confidence,source
2020,1,semester,2020-03-16,2020-06-26,confirmed,"web.archive.org/web/20200321184910/hongik.ac.kr/contents/www/cor/calendar_2.html (코로나로 개강 2주 연기 반영본)"
2020,1,midterm_exam,2020-05-04,2020-05-09,estimated,"8주차 규칙 (코로나 학기라 과목별 대체 가능성 높음)"
2020,1,final_exam,2020-06-20,2020-06-26,estimated,"15주차=종강 직전 1주 규칙"
2020,1,summer_session,2020-06-29,2020-07-17,confirmed,"동일 아카이브 (예정 표기)"
2020,2,semester,2020-09-01,2020-12-14,confirmed,"동일 아카이브"
2020,2,midterm_exam,2020-10-19,2020-10-24,estimated,"8주차 규칙"
2020,2,final_exam,2020-12-08,2020-12-14,estimated,"15주차 규칙"
2020,2,winter_session,2020-12-21,2021-01-11,confirmed,"동일 아카이브 (예정 표기)"
2021,1,semester,2021-03-02,2021-06-14,confirmed,"web.archive.org/web/20210413191837/www.hongik.ac.kr/contents/www/cor/calendar_2.html"
2021,1,midterm_exam,2021-04-19,2021-04-24,estimated,"8주차 규칙"
2021,1,final_exam,2021-06-08,2021-06-14,estimated,"15주차 규칙"
2021,1,summer_session,2021-06-28,2021-07-16,confirmed,"동일 아카이브 (예정 표기)"
2021,2,semester,2021-09-01,2021-12-14,confirmed,"동일 아카이브"
2021,2,midterm_exam,2021-10-18,2021-10-23,estimated,"8주차 규칙"
2021,2,final_exam,2021-12-08,2021-12-14,estimated,"15주차 규칙"
2021,2,winter_session,2021-12-27,2022-01-18,confirmed,"동일 아카이브 (예정 표기)"
2022,1,semester,2022-03-02,2022-06-14,confirmed,"web.archive.org/web/20220616073526/www.hongik.ac.kr/contents/www/cor/calendar_2.html"
2022,1,midterm_exam,2022-04-18,2022-04-23,estimated,"8주차 규칙"
2022,1,final_exam,2022-06-08,2022-06-14,estimated,"15주차 규칙"
2022,1,summer_session,2022-06-28,2022-07-18,confirmed,"동일 아카이브 (예정 표기)"
2022,2,semester,2022-09-01,2022-12-14,confirmed,"동일 아카이브"
2022,2,midterm_exam,2022-10-17,2022-10-22,estimated,"8주차 규칙"
2022,2,final_exam,2022-12-08,2022-12-14,estimated,"15주차 규칙"
2022,2,winter_session,2022-12-26,2023-01-17,confirmed,"동일 아카이브 (예정 표기)"
2023,1,semester,2023-03-02,2023-06-14,confirmed,"material.hongik.ac.kr/sub_dept/calendar.php (세종캠 학과 게재 2023학년도 학사일정)"
2023,1,midterm_exam,2023-04-17,2023-04-22,estimated,"8주차 규칙"
2023,1,final_exam,2023-06-08,2023-06-14,estimated,"15주차 규칙"
2023,1,summer_session,2023-06-28,2023-07-18,confirmed,"동일 페이지 (예정 표기)"
2023,2,semester,2023-09-01,2023-12-14,confirmed,"동일 페이지"
2023,2,midterm_exam,2023-10-16,2023-10-21,estimated,"8주차 규칙"
2023,2,final_exam,2023-12-08,2023-12-14,estimated,"15주차 규칙"
2023,2,winter_session,2023-12-26,2024-01-17,confirmed,"동일 페이지 (예정 표기)"
2024,1,semester,2024-03-04,2024-06-14,confirmed,"mba.hongik.ac.kr/front/haksaschedulelist.do?searchYear=2024 (본교 공통 개강·종강)"
2024,1,midterm_exam,2024-04-22,2024-04-27,estimated,"8주차 규칙"
2024,1,final_exam,2024-06-08,2024-06-14,estimated,"15주차 규칙"
2024,1,summer_session,2024-06-28,2024-07-18,confirmed,"hongik.ac.kr/kr/newscenter/notice.do?mode=view&articleNo=94751 (서울캠 공지; 세종캠 별도공지 94756 존재)"
2024,1,festival,2024-05-07,2024-05-08,confirmed,"hongik.ac.kr/kr/newscenter/news.do?mode=view&articleNo=97279 (2024 세종캠 대동제 All Is Well)"
2024,2,semester,2024-09-02,2024-12-14,confirmed,"동일 haksaschedulelist + 2024-2 수강신청 공지 articleNo=105160 (정정 9.2 시작)"
2024,2,midterm_exam,2024-10-21,2024-10-26,estimated,"8주차 규칙"
2024,2,final_exam,2024-12-08,2024-12-14,estimated,"15주차 규칙"
2024,2,winter_session,2024-12-26,2025-01-17,estimated,"서울캠 공지 articleNo=124976 확정 날짜로 근사 (세종캠 별도공지 미확인)"
2025,1,semester,2025-03-04,2025-06-14,confirmed,"홍익대 2025학년도 학사일정 PDF (hongik.ac.kr cms/etcResourceDown.do)"
2025,1,midterm_exam,2025-04-21,2025-04-26,estimated,"8주차 규칙"
2025,1,final_exam,2025-06-09,2025-06-14,estimated,"15주차=종강 직전 1주 규칙"
2025,1,makeup_week,2025-06-16,2025-06-20,confirmed,"공휴일 수업보강기간 (학사일정 PDF)"
2025,1,summer_session,2025-06-25,2025-07-16,confirmed,"(세종캠퍼스) 2025 하계 계절학기 공지 articleNo=136414 — 본교 일정표(6.30~7.18)와 다름, 세종캠 실공지 우선"
2025,1,festival,2025-05-15,2025-05-16,confirmed,"hongik.ac.kr/kr/newscenter/news.do?mode=view&articleNo=139198 (2025 세종캠 대동제 이음)"
2025,2,semester,2025-09-01,2025-12-13,confirmed,"동일 2025학년도 학사일정 PDF"
2025,2,midterm_exam,2025-10-20,2025-10-25,estimated,"8주차 규칙"
2025,2,final_exam,2025-12-08,2025-12-13,estimated,"15주차 규칙"
2025,2,makeup_week,2025-12-15,2025-12-19,confirmed,"공휴일 수업보강기간 (학사일정 PDF)"
2025,2,winter_session,2025-12-23,2026-01-15,confirmed,"(세종캠퍼스) 2025 동계 계절학기 공지 articleNo=144675 — 본교 일정표(12.29~1.16)와 다름"
2026,1,semester,2026-03-03,2026-06-14,confirmed,"홍익대 2026학년도 학사일정 PDF + 2026-1 수강신청 공지 articleNo=145555 교차확인"
2026,1,midterm_exam,2026-04-20,2026-04-25,estimated,"8주차 규칙"
2026,1,final_exam,2026-06-08,2026-06-14,estimated,"15주차 규칙 (공식 종강 6.14는 일요일; 실질 마지막 수업일 6.12 금)"
2026,1,makeup_week,2026-06-15,2026-06-19,confirmed,"공휴일 수업보강기간 (학사일정 PDF)"
2026,1,summer_session,2026-06-24,2026-07-14,confirmed,"(세종캠퍼스) 2026 하계 계절학기 공지 articleNo=151445"
2026,2,semester,2026-09-01,2026-12-14,confirmed,"동일 2026학년도 학사일정 PDF"
2026,2,midterm_exam,2026-10-19,2026-10-24,estimated,"8주차 규칙"
2026,2,final_exam,2026-12-08,2026-12-14,estimated,"15주차 규칙"
2026,2,winter_session,2026-12-22,2027-01-14,confirmed,"동일 2026학년도 학사일정 PDF (예정 표기)"
